SSH key found in project metadata; not updating instance.
SSH: Attempting to connect to worker 0...
SSH: Attempting to connect to worker 1...
SSH: Attempting to connect to worker 2...
SSH: Attempting to connect to worker 3...
Hardware: 16 devices across 4 processes. Platform: tpu
AST Zero-Transcendental Audit: PASS
Distributed Mesh Topology: OrderedDict([('data', 2), ('fsdp', 2), ('model', 4)])

==================== Starting Pretraining: StandardTransformerLM (100000 steps) ====================
[StandardTransformerLM] Step  44500/100000 | Loss: 3.1160 | Grad Norm: 0.326 | Throughput: 2,484,086 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  45000/100000 | Loss: 3.0455 | Grad Norm: 0.316 | Throughput: 2,479,097 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  45500/100000 | Loss: 3.0831 | Grad Norm: 0.327 | Throughput: 2,481,984 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  46000/100000 | Loss: 3.1654 | Grad Norm: 0.326 | Throughput: 2,483,541 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  46500/100000 | Loss: 3.2551 | Grad Norm: 0.316 | Throughput: 2,482,529 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  47000/100000 | Loss: 3.1795 | Grad Norm: 0.317 | Throughput: 2,483,935 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  47500/100000 | Loss: 3.1093 | Grad Norm: 0.322 | Throughput: 2,483,155 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  48000/100000 | Loss: 3.1558 | Grad Norm: 0.322 | Throughput: 2,475,941 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  48500/100000 | Loss: 3.2706 | Grad Norm: 0.337 | Throughput: 2,483,172 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  49000/100000 | Loss: 3.1954 | Grad Norm: 0.321 | Throughput: 2,484,265 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  49500/100000 | Loss: 3.1114 | Grad Norm: 0.334 | Throughput: 2,479,759 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  50000/100000 | Loss: 3.0709 | Grad Norm: 0.315 | Throughput: 2,482,665 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  50500/100000 | Loss: 3.0706 | Grad Norm: 0.324 | Throughput: 2,478,934 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  51000/100000 | Loss: 2.9836 | Grad Norm: 0.324 | Throughput: 2,477,491 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  51500/100000 | Loss: 3.1272 | Grad Norm: 0.328 | Throughput: 2,477,070 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  52000/100000 | Loss: 3.1269 | Grad Norm: 0.325 | Throughput: 2,475,037 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  52500/100000 | Loss: 3.0282 | Grad Norm: 0.328 | Throughput: 2,475,906 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  53000/100000 | Loss: 3.1804 | Grad Norm: 0.331 | Throughput: 2,477,320 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  53500/100000 | Loss: 3.1280 | Grad Norm: 0.324 | Throughput: 2,477,614 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  54000/100000 | Loss: 3.0252 | Grad Norm: 0.332 | Throughput: 2,471,542 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step  54500/100000 | Loss: 3.1649 | Grad Norm: 0.340 | Throughput: 2,475,578 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  55000/100000 | Loss: 3.1122 | Grad Norm: 0.337 | Throughput: 2,480,100 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  55500/100000 | Loss: 3.1033 | Grad Norm: 0.328 | Throughput: 2,483,892 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  56000/100000 | Loss: 2.9606 | Grad Norm: 0.324 | Throughput: 2,483,571 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  56500/100000 | Loss: 3.1269 | Grad Norm: 0.351 | Throughput: 2,482,550 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  57000/100000 | Loss: 3.1025 | Grad Norm: 0.334 | Throughput: 2,478,813 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  57500/100000 | Loss: 3.0842 | Grad Norm: 0.328 | Throughput: 2,478,643 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  58000/100000 | Loss: 3.0973 | Grad Norm: 0.335 | Throughput: 2,484,153 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  58500/100000 | Loss: 3.0999 | Grad Norm: 0.340 | Throughput: 2,473,230 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  59000/100000 | Loss: 3.0641 | Grad Norm: 0.334 | Throughput: 2,481,617 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  59500/100000 | Loss: 3.1284 | Grad Norm: 0.339 | Throughput: 2,480,778 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  60000/100000 | Loss: 3.0529 | Grad Norm: 0.329 | Throughput: 2,479,309 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  60500/100000 | Loss: 3.0838 | Grad Norm: 0.340 | Throughput: 2,478,276 tok/s | Step time: 13.2ms
